Contracting Department ID,Contracting Department Name,Contracting Office ID,Contracting Office Name,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Description of Requirement,Ultimate Parent Legal Business Name,Ultimate Parent Unique Entity ID,Dollars Obligated
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,AR11,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",COMMERCIAL SUPERSONIC TECHNOLOGY,RAYTHEON TECHNOLOGIES CORPORATION,PPLZG8J3N9D4,34641.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,AR11,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",COMMERCIAL SUPERSONIC TECHNOLOGY,RAYTHEON TECHNOLOGIES CORPORATION,PPLZG8J3N9D4,4468.51
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,527438.83
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,1286233.63
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,990336.92
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,1397461.29
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,1049544.97
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,2558239.39
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
