Contracting Department ID,Contracting Department Name,Contracting Office ID,Contracting Office Name,NAICS Code,NAICS Description,Product or Service Code,Product or Service Description,Description of Requirement,Ultimate Parent Legal Business Name,Ultimate Parent Unique Entity ID,Dollars Obligated
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,511210,SOFTWARE PUBLISHERS,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",EPFD- DATA ANALYSIS SUPPORT,SAFRAN NORTH AMERICA  LLC,CBFWJK9JHNG7,571064.45
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,511210,SOFTWARE PUBLISHERS,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",EPFD- DATA ANALYSIS SUPPORT,SAFRAN NORTH AMERICA  LLC,CBFWJK9JHNG7,5000.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,511210,SOFTWARE PUBLISHERS,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",EPFD- DATA ANALYSIS SUPPORT,SNA SOFTWARE LLC,CBFWJK9JHNG7,200000.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,527438.83
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,0.00
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,1286233.63
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,990336.92
8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80AFRC,NASA ARMSTRONG FLIGHT RESEARCH CNTR,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,"RESEARCH FACILITIES AND ENGINEERING SUPPORT SERVICES (RF&ESS). COVERS THREE PRIMARY FUNCTIONAL SERVICE AREAS: (1) DRYDEN AERONAUTICAL TEST RANGE (DATR) OPERATIONS & ENGINEERING, (2) SIMULATION LAB (SIM) SUPPORT, AND (3) CENTER-WIDE IT SERVICES.",ASRC FEDERAL SYSTEM SOLUTIONS  LLC,CY16XXPHX213,1397461.29
